scenario_id,num_runs,HR_collision_pedestrian,HR_collision_vehicle,HR_collision_static,HR_red_light,HR_stop_sign,HR_off_road,HR_lane_invasion,R_collision_pedestrian,R_collision_vehicle,R_collision_static,R_red_light,R_stop_sign,R_off_road,R_lane_invasion,S_collision_pedestrian,S_collision_vehicle,S_collision_static,S_red_light,S_stop_sign,S_off_road,S_lane_invasion,HR_avg,R_avg,T_exec_avg,completed_runs,completion_rate,tool
scenario_000,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0046,0,0.0,ScenarioFuzzLLM
scenario_001,10,0.0,1.0,0.0,0.0,0.0,0.4,1.0,0.0,0.6,0.0,0.0,0.0,0.36,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.3429,0.2586,60.0074,0,0.0,ScenarioFuzzLLM
scenario_002,10,0.0,1.0,0.0,0.0,0.0,0.2,1.0,0.0,0.6,0.0,0.0,0.0,0.18,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.3143,0.2329,60.0029,0,0.0,ScenarioFuzzLLM
scenario_003,10,0.0,1.0,0.3,0.0,0.0,0.8,1.0,0.0,0.6,0.195,0.0,0.0,0.72,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4429,0.3379,60.0038,1,0.1,ScenarioFuzzLLM
scenario_004,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0045,1,0.1,ScenarioFuzzLLM
scenario_005,10,0.0,1.0,0.1,0.0,0.0,0.4,1.0,0.0,0.6,0.065,0.0,0.0,0.36,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.3571,0.2679,60.0041,0,0.0,ScenarioFuzzLLM
scenario_006,10,0.0,1.0,0.0,0.0,0.0,0.6,1.0,0.0,0.6,0.0,0.0,0.0,0.54,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.3714,0.2843,60.004,0,0.0,ScenarioFuzzLLM
scenario_007,10,0.0,1.0,0.3,0.0,0.0,1.0,1.0,0.0,0.6,0.195,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4714,0.3636,60.0082,0,0.0,ScenarioFuzzLLM
scenario_008,10,0.0,1.0,0.3,0.0,0.0,1.0,1.0,0.0,0.6,0.195,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4714,0.3636,60.0055,0,0.0,ScenarioFuzzLLM
scenario_009,10,0.0,1.0,0.8,0.0,0.0,0.9,1.0,0.0,0.6,0.52,0.0,0.0,0.81,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5286,0.3971,60.007,0,0.0,ScenarioFuzzLLM
scenario_010,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0048,0,0.0,ScenarioFuzzLLM
scenario_011,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0044,0,0.0,ScenarioFuzzLLM
scenario_012,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0058,0,0.0,ScenarioFuzzLLM
scenario_013,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0039,1,0.1,ScenarioFuzzLLM
scenario_014,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0033,0,0.0,ScenarioFuzzLLM
scenario_015,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0054,0,0.0,ScenarioFuzzLLM
scenario_016,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.003,0,0.0,ScenarioFuzzLLM
scenario_017,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0046,0,0.0,ScenarioFuzzLLM
scenario_018,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0051,0,0.0,ScenarioFuzzLLM
scenario_019,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0045,0,0.0,ScenarioFuzzLLM
scenario_020,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0063,0,0.0,ScenarioFuzzLLM
scenario_021,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0045,0,0.0,ScenarioFuzzLLM
scenario_022,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0162,0,0.0,ScenarioFuzzLLM
scenario_023,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0055,0,0.0,ScenarioFuzzLLM
scenario_024,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0128,0,0.0,ScenarioFuzzLLM
scenario_025,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0037,0,0.0,ScenarioFuzzLLM
scenario_026,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0044,0,0.0,ScenarioFuzzLLM
scenario_027,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0047,1,0.1,ScenarioFuzzLLM
scenario_028,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.005,1,0.1,ScenarioFuzzLLM
scenario_029,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0044,0,0.0,ScenarioFuzzLLM
scenario_030,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0042,0,0.0,ScenarioFuzzLLM
scenario_01,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.0,0.0,0.9,0.0,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.2857,0.2214,60.0044,0,0.0,SimADFuzz
scenario_02,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0045,0,0.0,SimADFuzz
scenario_03,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.0,0.0,0.9,0.0,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.2857,0.2214,60.0039,0,0.0,SimADFuzz
scenario_04,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0088,0,0.0,SimADFuzz
scenario_05,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0048,0,0.0,SimADFuzz
scenario_06,10,0.0,0.3,1.0,0.0,0.0,1.0,1.0,0.0,0.18,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4714,0.3686,60.008,0,0.0,SimADFuzz
scenario_07,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0034,0,0.0,SimADFuzz
scenario_08,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0036,0,0.0,SimADFuzz
scenario_09,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0075,0,0.0,SimADFuzz
scenario_10,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0049,0,0.0,SimADFuzz
scenario_11,10,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.65,0.0,0.0,0.0,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.2857,0.2143,60.0055,0,0.0,SimADFuzz
scenario_12,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.0,0.0,0.9,0.0,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.2857,0.2214,60.0027,0,0.0,SimADFuzz
scenario_13,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0069,10,1.0,SimADFuzz
scenario_14,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.0,0.0,0.9,0.0,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.2857,0.2214,60.0094,0,0.0,SimADFuzz
scenario_15,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0039,0,0.0,SimADFuzz
scenario_16,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.0,0.0,0.9,0.0,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.2857,0.2214,60.005,0,0.0,SimADFuzz
scenario_17,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.0,0.0,0.9,0.0,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.2857,0.2214,60.0042,0,0.0,SimADFuzz
scenario_18,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0066,0,0.0,SimADFuzz
scenario_19,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0052,0,0.0,SimADFuzz
scenario_20,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0049,0,0.0,SimADFuzz
scenario_21,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0068,0,0.0,SimADFuzz
scenario_22,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.0,0.0,0.9,0.0,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.2857,0.2214,60.0045,0,0.0,SimADFuzz
scenario_23,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.0,0.0,0.0036,10,1.0,SimADFuzz
scenario_24,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0043,0,0.0,SimADFuzz
scenario_25,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0065,0,0.0,SimADFuzz
scenario_26,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0056,0,0.0,SimADFuzz
scenario_27,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0066,0,0.0,SimADFuzz
scenario_28,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0046,0,0.0,SimADFuzz
scenario_29,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0062,0,0.0,SimADFuzz
scenario_30,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0039,0,0.0,SimADFuzz
scenario_31,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.0,0.0,0.9,0.0,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.2857,0.2214,60.0044,0,0.0,SimADFuzz
scenario_00,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0069,0,0.0,TMFuzz
scenario_01,10,0.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.21,0.0,0.0,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.1857,0.1514,29.0883,6,0.6,TMFuzz
scenario_02,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.003,0,0.0,TMFuzz
scenario_03,10,0.0,0.0,1.0,0.1,0.0,1.0,1.0,0.0,0.0,0.65,0.07,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4429,0.3529,60.0026,0,0.0,TMFuzz
scenario_04,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0041,0,0.0,TMFuzz
scenario_05,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0041,0,0.0,TMFuzz
scenario_06,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0031,0,0.0,TMFuzz
scenario_07,10,0.0,0.0,1.0,0.1,0.0,1.0,1.0,0.0,0.0,0.65,0.07,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4429,0.3529,60.0036,0,0.0,TMFuzz
scenario_08,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0032,0,0.0,TMFuzz
scenario_09,10,0.0,0.9,1.0,0.0,0.0,1.0,1.0,0.0,0.54,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5571,0.42,60.0075,0,0.0,TMFuzz
scenario_10,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0091,0,0.0,TMFuzz
scenario_11,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0161,0,0.0,TMFuzz
scenario_12,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0169,0,0.0,TMFuzz
scenario_13,10,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.65,0.0,0.0,0.0,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.2857,0.2143,60.024,0,0.0,TMFuzz
scenario_14,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0215,0,0.0,TMFuzz
scenario_15,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0185,0,0.0,TMFuzz
scenario_16,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0196,0,0.0,TMFuzz
scenario_17,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0168,0,0.0,TMFuzz
scenario_18,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0328,0,0.0,TMFuzz
scenario_19,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.031,0,0.0,TMFuzz
scenario_20,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0241,0,0.0,TMFuzz
scenario_21,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.024,0,0.0,TMFuzz
scenario_22,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0166,0,0.0,TMFuzz
scenario_23,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0342,0,0.0,TMFuzz
scenario_24,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0213,0,0.0,TMFuzz
scenario_25,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0194,0,0.0,TMFuzz
scenario_26,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0193,0,0.0,TMFuzz
scenario_27,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0186,0,0.0,TMFuzz
scenario_28,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0207,0,0.0,TMFuzz
scenario_29,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0174,0,0.0,TMFuzz
scenario_30,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0179,0,0.0,TMFuzz
